image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.919995,bus,van,False
drive_022,2,1,0.926926,car,car,True
drive_022,3,4,0.778011,car,car,True
drive_022,4,5,0.855223,truck,bus,False
drive_033,1,1,0.975466,bus,van,False
drive_033,2,2,0.828506,truck,bus,False
drive_033,3,11,0.883983,car,car,True
drive_033,4,12,0.93654,car,van,False
drive_033,5,8,0.875533,car,car,True
drive_033,6,10,0.77635,car,car,True
drive_033,7,6,0.818518,car,car,True
drive_033,10,3,0.877525,car,car,True
drive_033,11,4,0.752283,car,car,True
drive_033,12,9,0.831536,car,car,True
drive_033,24,7,0.91673,car,car,True
drive_033,25,5,0.854647,car,car,True
drive_038,1,4,0.879368,car,car,True
drive_038,2,3,0.924966,car,car,True
drive_038,3,2,0.934329,car,car,True
drive_038,4,1,0.954231,car,car,True
drive_038,5,5,0.909958,truck,bus,False
drive_038,6,17,0.885746,car,car,True
drive_038,7,16,0.90402,car,car,True
drive_038,8,15,0.90328,car,truck,False
drive_038,9,9,0.9046,truck,bus,False
drive_038,10,8,0.842863,car,car,True
drive_038,11,10,0.873221,car,car,True
drive_038,12,7,0.910627,car,car,True
drive_038,13,6,0.852619,car,car,True
drive_038,14,12,0.858791,car,car,True
drive_038,15,11,0.892015,car,car,True
drive_038,16,13,0.877928,car,car,True
drive_038,17,14,0.833331,car,car,True
drive_008,1,16,0.937049,car,car,True
drive_008,3,11,0.931345,car,car,True
drive_008,5,12,0.871549,car,truck,False
drive_008,6,4,0.927921,car,car,True
drive_008,7,6,0.862449,car,car,True
drive_008,8,3,0.929252,car,truck,False
drive_008,9,5,0.834907,car,truck,False
drive_008,10,2,0.918284,car,car,True
drive_008,12,9,0.944989,bus,van,False
drive_008,13,1,0.813678,truck,bus,False
drive_008,15,7,0.816262,car,car,True
drive_008,16,13,0.69132,car,car,True
drive_008,17,14,0.859072,car,car,True
drive_008,18,15,0.324537,car,car,True
